classifier,imbalance_technique,n_trials,best_trial,mean_auc,std_auc,mean_f1,std_f1,mean_gmean,std_gmean,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,best_params,time_seconds
MLP,ROS,50,15,0.9121,0.0281,0.5504,0.0517,0.8427,0.0397,0.4082,0.047,0.8511,0.0745,0.8361,0.0278,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 5.214045622476226e-05, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [88, 101], ""max_iter"": 1000}",6279.9
MLP,SMOTE,50,41,0.9136,0.0292,0.5497,0.0509,0.8371,0.0396,0.4113,0.0462,0.8345,0.0727,0.8415,0.0269,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.01170070034083564, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [179, 60], ""max_iter"": 1000}",7055.3
MLP,BorderlineSMOTE,50,36,0.9131,0.0289,0.5583,0.0507,0.8365,0.0391,0.4246,0.051,0.8249,0.0766,0.8506,0.0306,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.01331074589919641, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [210, 21], ""max_iter"": 1000}",11614.3
KNN,None,50,42,0.877,0.0403,0.2279,0.0985,0.3504,0.1176,0.7618,0.2645,0.1373,0.0649,0.995,0.0047,"{""n_neighbors"": 27, ""weights"": ""uniform"", ""metric"": ""manhattan""}",12.6
NaiveBayes,None,50,22,0.8909,0.0344,0.5309,0.0607,0.7926,0.0496,0.4195,0.0533,0.7268,0.0852,0.8672,0.0202,"{""var_smoothing"": 0.0006039330077001364}",5.0
DecisionTree,None,50,48,0.8579,0.0285,0.4119,0.127,0.5558,0.1236,0.6095,0.1623,0.3364,0.1538,0.9689,0.0207,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_split"": 6, ""min_samples_leaf"": 20}",6.0
MLP,ADASYN,50,15,0.9123,0.0301,0.5421,0.0473,0.8407,0.0377,0.3983,0.0413,0.8537,0.0686,0.8292,0.0261,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 1.1286551377492865e-05, ""learning_rate"": ""adaptive"", ""hidden_layer_sizes"": [212, 107], ""max_iter"": 1000}",6727.3
MLP,RUS,50,44,0.9006,0.0322,0.5035,0.0499,0.8165,0.041,0.3635,0.0457,0.8299,0.0832,0.8063,0.0368,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 1.681393381522566e-05, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [81, 232, 72], ""max_iter"": 1000}",974.3
MLP,NearMiss,50,20,0.8512,0.0217,0.45,0.04,0.7526,0.0354,0.3338,0.034,0.6954,0.0651,0.8167,0.0256,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.000520129642760294, ""learning_rate"": ""adaptive"", ""hidden_layer_sizes"": [57, 151, 154], ""max_iter"": 1000}",1000.3
MLP,TomekLinks,50,4,0.9133,0.0302,0.5226,0.0979,0.6601,0.0711,0.6267,0.1435,0.4583,0.0953,0.9614,0.0205,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.00017654048052495074, ""learning_rate"": ""adaptive"", ""hidden_layer_sizes"": [122, 45, 135], ""max_iter"": 1000}",3577.6
MLP,SMOTETomek,50,27,0.913,0.029,0.551,0.0445,0.8416,0.0341,0.4099,0.0414,0.8465,0.066,0.8383,0.0271,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.001022279916631354, ""learning_rate"": ""adaptive"", ""hidden_layer_sizes"": [217, 24], ""max_iter"": 1000}",7136.8
